Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
8080,1021061,3,0,0,0,0.0,0.0,6,6,6.0,0.0,17.6287215,5.876240499,204212.2,278849.6459,515188,485,1020539,510269.5,8032.025927,515949,504590,1020576,510288.0,7667.865935,515710,504866,92,60,2.938120249,2.938120249,0,6,2.571428571,3.207134903,10.28571429,0,1,0,3.0,0,8192,0,0,28,0.0,0,0,0.0,0,0
8080,78526,4,210,198,0,52.5,97.04122835,128,0,44.66666667,72.23111056,4380.714668,89.14244963,13087.66667,31179.80102,76731,36,78526,26175.33333,44674.71429,77760,72,77295,38647.5,53858.2022,76731,564,92,72,50.93854265,38.20390699,0,198,43.0,76.44232186,5843.428571,0,1,0,49.14285714,210,8192,237,3,20,0.0,0,0,0.0,0,0
8080,1024501,3,0,0,0,0.0,0.0,6,6,6.0,0.0,17.56952897,5.856509657,204900.2,279990.2054,514394,370,1024038,512019.0,3882.016229,514764,509274,1024046,512023.0,4007.881236,514857,509189,92,60,2.928254828,2.928254828,0,6,2.571428571,3.207134903,10.28571429,0,1,0,3.0,0,8192,0,0,28,0.0,0,0,0.0,0,0
8080,996758,3,0,0,0,0.0,0.0,6,6,6.0,0.0,18.05854581,6.019515269,199351.6,272491.976,499741,307,996352,498176.0,2647.407789,500048,496304,996409,498204.5,2747.109845,500147,496262,92,60,3.009757634,3.009757634,0,6,2.571428571,3.207134903,10.28571429,0,1,0,3.0,0,8192,0,0,28,0.0,0,0,0.0,0,0
8080,89356,28,109702,18980,0,3917.928571,3928.301734,128,0,8.148148148,16.63754269,1232620.081,917.6776042,1103.160494,8566.840832,77230,0,89356,3309.481481,15776.69181,82243,2,87927,1659.0,10584.06963,77230,0,572,1092,313.3533283,604.3242759,0,18980,1327.012048,2922.401007,8540427.646,0,1,0,1343.195122,109702,8192,1255,27,20,0.0,0,0,0.0,0,0
21,3,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,0,1,14.0,14,229,-1,0,32,0.0,0,0,0.0,0,0
21,17,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,823529.4118,117647.0588,17.0,0.0,17,17,17,17.0,0.0,17,17,0,0.0,0.0,0,0,64,0,117647.0588,0.0,0,14,9.333333333,8.082903769,65.33333333,0,0,1,14.0,14,229,-1,0,32,0.0,0,0,0.0,0,0
21,215,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,65116.27907,13953.48837,107.5,31.81980515,130,85,215,215.0,0.0,215,215,0,0.0,0.0,0,0,64,20,9302.325581,4651.162791,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0
22,11846983,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,401.1991914,4.473712843,227826.5962,613416.1164,2094925,3,10000000,500492.85,878080.3484,2151864,258,11800000,382157.4516,760803.2794,2094925,3,680,1032,1.772603202,2.701109641,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0
22,12262144,19,2008,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,387.6157383,4.077590346,250247.8367,652488.5803,2212144,18,10100000,559176.0,921544.4456,2264622,273,12300000,408734.9,798596.4201,2212144,18,616,1000,1.549484332,2.528106015,0,976,93.19607843,193.9302988,37608.96078,0,1,0,95.06,2008,29200,247,16,32,0.0,0,0,0.0,0,0
22,11636023,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,408.4728949,4.554820835,223769.6731,605859.5756,2460297,16,9708845,485442.25,861302.5692,2502259,499,11600000,375351.9677,751896.3184,2460297,16,680,1032,1.804740331,2.750080504,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0
22,11350348,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,418.7536805,4.669460355,218275.9231,591861.5521,2199185,4,9543773,477188.65,849331.1102,2268519,496,11400000,366136.2258,734613.3713,2199185,4,680,1032,1.850163537,2.819296818,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0
21,9089594,9,99,20,0,11.0,8.544003745,34,0,12.53333333,14.54975045,31.57456758,2.640381958,395199.7391,1029118.797,3232875,3,5987221,748402.625,1391826.433,3277033,3,9089462,649247.2857,1270703.836,3232875,3,296,488,0.990143234,1.650238724,0,34,11.48,12.41343358,154.0933333,0,1,0,11.95833333,99,29200,227,6,32,0.0,0,0,0.0,0,0
22,10859026,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,437.7003978,4.880732397,208827.4231,567126.8409,2362028,3,9102622,455131.1,815238.8975,2410173,360,10900000,350286.7097,704031.4451,2362028,3,680,1032,1.933875101,2.946857296,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0
21,270,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,51851.85185,11111.11111,135.0,70.71067812,185,85,270,270.0,0.0,270,270,0,0.0,0.0,0,0,64,20,7407.407407,3703.703704,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0
21,4,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,0,1,14.0,14,229,-1,0,32,0.0,0,0,0.0,0,0
22,96,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20833.33333,96.0,0.0,96,96,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,10416.66667,10416.66667,0,0,0.0,0.0,0.0,0,0,1,0.0,0,259,247,0,32,0.0,0,0,0.0,0,0
21,218,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,64220.18349,13761.46789,109.0,82.02438662,167,51,218,218.0,0.0,218,218,0,0.0,0.0,0,0,64,20,9174.311927,4587.155963,0,14,7.0,8.082903769,65.33333333,0,0,1,9.333333333,14,229,0,0,32,0.0,0,0,0.0,0,0
21,48,2,14,14,0,7.0,9.899494937,0,0,0.0,0.0,291666.6667,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,64,0,41666.66667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,0,1,14.0,14,229,-1,0,32,0.0,0,0,0.0,0,0
22,13797644,21,2008,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,344.4791009,3.841235504,265339.3077,713982.4778,2403011,3,11700000,583506.7,1022263.848,2449761,317,13800000,445082.5484,885454.9358,2403011,3,680,1032,1.521998973,2.319236531,0,976,88.01851852,189.5902723,35944.47135,0,1,0,89.67924528,2008,29200,247,16,32,0.0,0,0,0.0,0,0
80,9633441,4,24,6,6,6.0,0.0,0,0,0.0,0.0,2.491321637,0.415220273,3211147.0,5560694.564,9632084,428,9633441,3211147.0,5560694.564,9632084,428,0,0.0,0.0,0,0,80,0,0.415220273,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,1357.0,1357,1357,9632084.0,9632084,9632084
80,3991933,4,24,6,6,6.0,0.0,0,0,0.0,0.0,6.012124953,1.002020825,1330644.333,2303872.425,3990927,3,3991933,1330644.333,2303872.425,3990927,3,0,0.0,0.0,0,0,80,0,1.002020825,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0
80,51044,3,26,20,0,8.666666667,10.26320288,10220,0,2900.25,4922.508194,227783.8727,137.136588,8507.333333,13151.95866,27936,28,22839,11419.5,16097.28587,22802,37,51016,17005.33333,14784.057,27936,184,72,92,58.77282345,78.3637646,0,10220,1453.375,3574.535052,12800000.0,0,1,0,1661.0,26,8192,229,2,20,0.0,0,0,0.0,0,0
80,623763,3,26,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,18649.71151,14.428557,77970.375,220137.6775,622783,3,830,415.0,519.0163774,782,48,623714,124742.8,278413.1499,622783,3,72,132,4.809519,9.619038,0,5840,1163.3,2138.329153,4572451.567,0,1,0,1292.555556,26,8192,229,2,20,0.0,0,0,0.0,0,0
80,1596206,3,26,20,0,8.666666667,10.26320288,5840,0,1934.5,2375.523332,7287.906448,5.638369985,199525.75,563834.9601,1594946,3,987,493.5,118.0868325,577,410,1596160,319232.0,713145.9188,1594946,3,72,132,1.879456662,3.758913323,0,5840,1163.3,2031.339572,4126340.456,0,1,0,1292.555556,26,8192,229,2,20,0.0,0,0,0.0,0,0
80,9883035,4,24,6,6,6.0,0.0,0,0,0.0,0.0,2.428403825,0.404733971,3294345.0,5702517.565,9879045,988,9883035,3294345.0,5702517.565,9879045,988,0,0.0,0.0,0,0,80,0,0.404733971,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,3990.0,3990,3990,9879045.0,9879045,9879045
80,82632224,8,56,20,0,7.0,5.656854249,10135,0,2321.4,4413.201989,141.1434842,0.157323613,6886018.667,22600000.0,78600000,0,80800000,11500000.0,29600000.0,78600000,0,1867989,466997.25,932798.6943,1866195,149,172,112,0.096814531,0.060509082,0,10135,833.5,2705.044255,7317264.423,0,0,1,897.6153846,56,256,229,6,20,2201056.0,2201056,2201056,78600000.0,78600000,78600000
80,876437,3,26,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,13273.05899,10.2688499,109554.625,309399.0364,875278,3,825,412.5,391.03005,689,136,876389,175277.8,391312.1593,875278,3,72,132,3.422949967,6.845899933,0,4380,1163.3,1903.962654,3625073.789,0,1,0,1292.555556,26,8192,229,2,20,0.0,0,0,0.0,0,0
80,7336788,5,30,6,6,6.0,0.0,0,0,0.0,0.0,4.088982808,0.681497135,1834197.0,3663739.607,7329805,3,7336788,1834197.0,3663739.607,7329805,3,0,0.0,0.0,0,0,100,0,0.681497135,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,6983.0,6983,6983,7329805.0,7329805,7329805
80,3238848,5,30,6,6,6.0,0.0,0,0,0.0,0.0,9.262552611,1.543758769,809712.0,1618252.032,3237090,259,3238848,809712.0,1618252.032,3237090,259,0,0.0,0.0,0,0,100,0,1.543758769,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,0.0,0,0,0.0,0,0
80,9594920,4,24,6,6,6.0,0.0,0,0,0.0,0.0,2.501323617,0.41688727,3198306.667,5538758.446,9593914,3,9594920,3198306.667,5538758.446,9593914,3,0,0.0,0.0,0,0,80,0,0.41688727,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,1006.0,1006,1006,9593914.0,9593914,9593914
80,7802017,5,30,6,6,6.0,0.0,0,0,0.0,0.0,3.845159527,0.640859921,1950504.25,3900265.834,7800903,245,7802017,1950504.25,3900265.834,7800903,245,0,0.0,0.0,0,0,100,0,0.640859921,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,1114.0,1114,1114,7800903.0,7800903,7800903
80,2126930,4,24,6,6,6.0,0.0,0,0,0.0,0.0,11.28386924,1.880644873,708976.6667,1227980.144,2126926,1,2126930,708976.6667,1227980.144,2126926,1,0,0.0,0.0,0,0,80,0,1.880644873,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0
80,727266,3,26,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,15995.52296,9.625089032,121211.0,296613.6738,726671,5,565,282.5,331.6330804,517,48,727250,242416.6667,419376.6511,726671,5,72,92,4.125038157,5.500050875,0,11595,1454.125,4097.537534,16800000.0,0,1,0,1661.857143,26,8192,229,2,20,0.0,0,0,0.0,0,0
80,1770896,3,26,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,6565.602949,3.952801294,295149.3333,717390.3226,1759490,53,11059,5529.5,7744.940574,11006,53,1770753,590251.0,1012605.384,1759490,174,72,92,1.694057697,2.258743596,0,8760,1453.375,3113.952607,9696700.839,0,1,0,1661.0,26,8192,229,2,20,0.0,0,0,0.0,0,0
80,4,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,251,-1,0,32,0.0,0,0,0.0,0,0
80,1007554,4,353,353,0,88.25,176.5,4344,0,1656.428571,1757.579003,11858.42148,10.91752899,100755.4,315546.5029,998793,47,1006842,335614.0,574339.863,998793,635,8698,1449.666667,3233.198025,8048,47,144,232,3.97001054,6.947518446,0,4344,995.6666667,1536.500648,2360834.242,0,1,0,1086.181818,353,29200,235,1,32,0.0,0,0,0.0,0,0
80,2004,5,6,6,0,1.2,2.683281573,0,0,0.0,0.0,2994.011976,2495.00998,501.0,1000.666778,2002,0,2004,501.0,1000.666778,2002,0,0,0.0,0.0,0,0,148,0,2495.00998,0.0,0,6,1.0,2.449489743,6.0,0,0,1,1.2,6,274,-1,1,20,0.0,0,0,0.0,0,0
80,1,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,251,-1,0,32,0.0,0,0,0.0,0,0
80,84912307,6,414,396,0,69.0,160.2235938,4344,0,1449.375,1894.680443,141.428262,0.164875982,6531715.923,23500000.0,84800000,3,84800000,17000000.0,37900000.0,84800000,5,84900000,12100000.0,32000000.0,84800000,9,164,264,0.070661135,0.094214847,0,4344,801.0,1522.853196,2319081.857,1,0,0,858.2142857,414,0,235,3,20,5201.0,5201,5201,84800000.0,84800000,84800000
80,116104608,10,353,353,0,35.3,111.6284014,7240,0,2319.0,3331.638186,102.907199,0.129193839,8293186.286,26700000.0,99900000,1,116000000,12900000.0,33100000.0,99900000,1,132703,33175.75,57913.98899,119577,85,336,168,0.086129226,0.043064613,0,7240,746.75,2041.086263,4166033.133,0,0,1,796.5333333,353,251,235,1,32,1003.0,1003,1003,58000000.0,99900000,16000000
80,1614,6,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3717.472119,322.8,104.7673613,443,193,1614,322.8,104.7673613,443,193,0,0.0,0.0,0,0,192,0,3717.472119,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,251,-1,0,32,0.0,0,0,0.0,0,0
80,85224972,9,608,301,0,67.55555556,132.3651305,4344,0,1932.5,1754.831473,143.185732,0.176004751,6087498.0,22700000.0,84900000,1,85100000,10600000.0,30000000.0,84900000,1,357246,71449.2,102627.0568,222843,16,284,200,0.105602851,0.070401901,0,4344,762.6875,1382.718758,1911911.163,0,0,1,813.5333333,608,251,235,3,20,5909.0,5909,5909,84900000.0,84900000,84900000
80,5,6,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1200000.0,1.0,0.707106781,2,0,5,1.0,0.707106781,2,0,0,0.0,0.0,0,0,192,0,1200000.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,274,-1,0,32,0.0,0,0,0.0,0,0
80,68200522,6,378,378,0,63.0,154.3178538,5792,0,1932.5,2181.008184,175.5558411,0.175951732,6200047.455,20500000.0,68100000,1,68100000,13600000.0,30400000.0,68100000,1,141447,28289.4,56613.59661,129141,45,200,200,0.087975866,0.087975866,0,5792,921.0,1715.300557,2942256.0,0,0,1,997.75,378,274,235,1,32,5.0,5,5,68100000.0,68100000,68100000
80,101241827,8,694,335,0,86.75,153.2456012,5792,0,1449.375,2046.673464,121.3826376,0.158037448,6749455.133,26000000.0,101000000,11,101000000,14400000.0,38100000.0,101000000,11,101000000,14500000.0,38100000.0,101000000,48,216,264,0.079018724,0.079018724,0,5792,723.2352941,1530.115622,2341253.816,1,0,0,768.4375,694,0,235,5,20,15003.0,15003,15003,101000000.0,101000000,101000000
80,11616337,8,558,558,0,69.75,197.282792,4392,0,1938.666667,2190.718847,1049.384156,1.205199195,893564.3846,2205300.389,6614846,3,6617942,945420.2857,2500642.314,6616344,3,11600000,2323263.4,3231740.03,6614846,15,264,200,0.688685254,0.516513941,0,4392,812.6666667,1624.626844,2639412.381,0,1,0,870.7142857,558,29200,235,1,32,611.0,611,611,6614846.0,6614846,6614846
80,2267,3,318,318,0,106.0,183.5973856,5792,0,1932.5,2537.820147,5254962.506,3970.004411,283.375,644.9772837,1870,3,1892,946.0,1332.189176,1888,4,2249,449.8,827.8086735,1923,3,104,200,1323.334804,2646.669607,0,5792,1191.3,2121.822071,4502128.9,0,1,0,1323.666667,318,29200,235,1,32,0.0,0,0,0.0,0,0
80,100102762,9,310,310,0,34.44444444,103.3333333,7240,0,1932.5,2695.639126,118.9277874,0.149846015,7150197.286,26700000.0,100000000,0,100000000,12500000.0,35300000.0,100000000,0,146510,29302.0,59852.17379,136092,83,296,200,0.089907609,0.059938406,0,7240,744.0625,1825.335128,3331848.329,0,0,1,793.6666667,310,251,235,1,32,1014.0,1014,1014,100000000.0,100000000,100000000
80,1002,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1996.007984,1002.0,0.0,1002,1002,1002,1002.0,0.0,1002,1002,0,0.0,0.0,0,0,64,0,1996.007984,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,251,-1,0,32,0.0,0,0,0.0,0,0
34497,1,1,6,6,6,6.0,0.0,2,2,2.0,0.0,8000000.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,24,1000000.0,1000000.0,2,6,4.666666667,2.309401077,5.333333333,1,0,1,7.0,6,0,1024,0,20,0.0,0,0,0.0,0,0
53,30733,2,88,44,44,44.0,0.0,60,60,60.0,0.0,6767.9692838317,130.1532554583,10244.3333333333,17699.5528286263,30682,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,88,40,65.0766277292,65.0766277292,44,60,50.4,8.7635609201,76.8,0,0,0,63.0,88,-1,-1,1,44,0.0,0,0,0.0,0,0
53,189,2,110,55,55,55.0,0.0,87,87,87.0,0.0,1502645.503,21164.02116,63.0,67.75691847,137,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,64,64,10582.01058,10582.01058,55,87,67.8,17.52712184,307.2,0,0,0,84.75,110,-1,-1,1,32,0.0,0,0,0.0,0,0
80,64,2,12,6,6,6.0,0.0,0,0,0.0,0.0,187500.0,31250.0,64.0,0.0,64,64,64,64.0,0.0,64,64,0,0.0,0.0,0,0,40,0,31250.0,0.0,6,6,6.0,0.0,0.0,0,0,1,9.0,12,16425,-1,1,20,0.0,0,0,0.0,0,0
53728,69,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28985.5072463768,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,14492.7536231884,14492.7536231884,0,0,0.0,0.0,0.0,0,0,1,0.0,0,1086,33304,0,32,0.0,0,0,0.0,0,0
80,116363417,20,1258,292,0,62.9,117.5333771,384,0,90.70588235,167.7035199,24.06254536,0.317969349,3232317.139,4611077.679,10000000,41,116000000,6122662.842,4800178.746,10000000,265,116000000,7270653.813,4402086.359,10000000,688,412,484,0.171875324,0.146094025,0,384,73.68421053,139.9942287,19598.38407,0,1,0,75.67567568,1258,8192,1047,19,20,130339.25,658168,32826,9563876.917,10000000,5038825
80,64056297,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0312225354,64056297.0,0.0,64056297,64056297,64056297,64056297.0,0.0,64056297,64056297,0,0.0,0.0,0,0,64,0,0.0312225354,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,33304,-1,0,32,0.0,0,0,0.0,0,0
53,31034,1,51,51,51,51.0,0.0,67,67,67.0,0.0,3802.281369,64.44544693,31034.0,0.0,31034,31034,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,32.22272346,32.22272346,51,67,56.33333333,9.237604307,85.33333333,0,0,0,84.5,51,-1,-1,0,20,0.0,0,0,0.0,0,0
53,65833,1,45,45,45,45.0,0.0,100,100,100.0,0.0,2202.542798,30.37990066,65833.0,0.0,65833,65833,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,15.18995033,15.18995033,45,100,63.33333333,31.75426481,1008.333333,0,0,0,95.0,45,-1,-1,0,20,0.0,0,0,0.0,0,0
55774,89,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22471.91011,89.0,0.0,89,89,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,11235.95506,11235.95506,0,0,0.0,0.0,0.0,0,0,1,0.0,0,972,33304,0,32,0.0,0,0,0.0,0,0
58750,53,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37735.8490566038,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,18867.9245283019,18867.9245283019,0,0,0.0,0.0,0.0,0,0,1,0.0,0,357,32832,0,32,0.0,0,0,0.0,0,0
443,3,2,31,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,0,1,31.0,31,321,-1,0,32,0.0,0,0,0.0,0,0
80,113470779,18,1264,418,0,70.22222222,160.0406403,1767,0,311.7058824,694.0853482,57.83867933,0.308449456,3337375.853,4628740.142,10000000,9,113000000,6673372.765,4559721.193,10000000,447,113000000,7090483.25,4374946.757,10000000,794,372,472,0.158631149,0.149818307,0,1767,182.3055556,498.2114192,248214.6183,0,1,0,187.5142857,1264,8192,1013,13,20,29972.16667,77043,22852,9423972.583,10000000,6493558
53,71533,1,45,45,45,45.0,0.0,150,150,150.0,0.0,2726.014567,27.95912376,71533.0,0.0,71533,71533,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,32,13.97956188,13.97956188,45,150,80.0,60.62177826,3675.0,0,0,0,120.0,45,-1,-1,0,40,0.0,0,0,0.0,0,0
53,37433,4,160,40,40,40.0,0.0,56,56,56.0,0.0,10258.32821,213.7151711,5347.571429,13989.25791,37072,3,37243,12414.33333,21497.05992,37237,3,37313,12437.66667,21459.53216,37217,48,80,80,106.8575856,106.8575856,40,56,47.11111111,8.432740427,71.11111111,0,0,0,53.0,160,-1,-1,3,20,0.0,0,0,0.0,0,0
